,age,duration,campaign,pdays,cons.conf.idx,job,marital,education,default,housing,loan,contact,day_of_week,poutcome,y,month_integer
3803,38,152,2,999,-36.4,2,1,1,0,0,0,1,0,1,0,5
35455,40,18,5,999,-46.2,0,2,3,0,0,0,0,1,0,0,5
18218,31,104,7,999,-42.7,10,0,6,0,2,2,0,4,1,0,7
31505,34,362,2,999,-46.2,7,1,3,0,0,2,0,4,0,0,5
18813,46,153,4,999,-42.7,7,1,2,0,0,0,0,2,1,0,7
37318,69,151,1,999,-31.4,5,1,3,0,2,0,0,3,1,0,8
5775,33,471,1,999,-36.4,9,2,6,0,0,2,1,1,1,0,5
31751,43,304,1,999,-46.2,0,2,3,0,2,0,0,2,1,0,5
13881,52,183,2,999,-42.7,3,1,0,0,0,2,0,0,1,0,7
7169,37,105,3,999,-36.4,1,2,5,0,2,0,1,2,1,0,5
10737,50,273,27,999,-41.8,3,0,0,1,2,2,1,3,1,0,6
17038,49,197,6,999,-42.7,9,1,5,1,0,0,0,0,1,0,7
15873,29,231,2,999,-42.7,0,2,3,0,2,0,0,1,1,0,7
21226,41,697,2,999,-36.1,9,1,3,0,0,0,0,1,1,1,8
36369,25,417,1,999,-40.8,0,2,6,0,0,0,0,3,1,1,6
9769,40,126,3,999,-41.8,3,2,6,0,0,0,1,1,1,0,6
10613,32,120,1,999,-41.8,6,1,2,0,1,1,1,3,1,0,6
32813,32,102,2,999,-46.2,1,1,2,0,2,0,0,1,1,0,5
5425,48,219,2,999,-36.4,5,0,5,0,0,0,1,0,1,0,5
31462,35,222,2,999,-46.2,1,1,2,0,2,0,0,4,0,0,5
12326,41,101,1,999,-42.7,2,1,0,0,0,0,1,0,1,0,7
20956,34,294,6,999,-36.1,4,1,6,0,2,0,0,2,1,0,8
29312,37,1184,2,999,-47.1,1,1,2,0,0,2,0,0,1,0,4
17086,31,298,1,999,-42.7,6,1,6,0,2,0,0,0,1,0,7
1648,43,266,1,999,-36.4,0,1,6,1,0,0,1,0,1,0,5
6128,50,307,2,999,-36.4,1,2,2,1,2,0,1,3,1,0,5
40851,42,232,1,3,-37.5,4,1,6,0,2,0,0,4,2,1,9
10665,35,437,2,999,-41.8,7,2,3,1,2,0,1,3,1,0,6
38082,24,106,1,3,-29.8,0,2,6,0,0,0,0,3,2,1,9
19038,48,135,1,999,-36.1,4,1,3,1,0,0,0,3,1,0,8
24007,35,309,1,999,-40.4,4,1,6,0,2,0,1,1,1,0,10
28975,36,1095,1,999,-47.1,9,1,5,0,2,0,0,0,0,1,4
9338,41,1085,1,999,-41.8,1,1,2,0,0,0,1,0,1,1,6
18720,49,6,2,999,-42.7,0,2,3,0,0,0,1,2,1,0,7
35735,36,1434,2,999,-46.2,0,1,3,1,2,0,0,1,0,0,5
13920,54,223,2,999,-42.7,1,0,3,1,0,0,0,0,1,0,7
10822,51,120,1,999,-41.8,1,0,0,0,0,0,1,4,1,0,6
17412,56,139,2,999,-42.7,7,1,6,0,0,0,0,1,1,0,7
23207,47,303,5,999,-36.1,2,1,3,0,2,2,0,3,1,0,8
40764,36,1334,2,999,-37.5,9,1,6,0,1,1,0,2,1,1,9
